,time,open,high,low,close,volume,,,,,,
873,2021-04-29 06:30:00,129.387160687,129.387160687,129.387160687,129.387160687,219,,,,,,
874,2021-04-29 06:00:00,129.207206361,129.207206361,129.207206361,129.207206361,1623,,,,,,
875,2021-04-29 05:30:00,129.261192659,129.261192659,129.261192659,129.261192659,1025,,,,,,
876,2021-04-29 05:00:00,129.297183524,129.297183524,129.261192659,129.261192659,1359,,,,,,
877,2021-04-28 20:00:00,128.568368502,128.568368502,128.568368502,128.568368502,117,,,,,,
878,2021-04-28 18:30:00,128.667343381,128.667343381,128.631352516,128.631352516,323,,,,,,
879,2021-04-28 18:00:00,128.703334247,128.703334247,128.559370786,128.559370786,406,,,,,,
880,2021-04-28 17:30:00,128.667343381,128.667343381,128.577366218,128.577366218,1360,,,,,,
881,2021-04-28 17:00:00,128.586363935,128.883288573,128.577366218,128.667343381,1565,,,,,,
882,2021-04-28 16:30:00,128.667343381,128.883288573,128.595361651,128.883288573,110341,,,,,,
883,2021-04-28 16:00:00,128.613357083,128.919279438,128.550373069,128.69433653,824719,,,,,,
884,2021-04-28 15:30:00,128.577366218,128.730327396,128.397411892,128.613357083,220431,,,,,,
885,2021-04-28 15:00:00,128.577366218,128.896785148,128.530488116,128.613357083,228941,,,,,,
886,2021-04-28 14:30:00,128.712331963,128.946272587,128.541375353,128.577366218,171576,,,,,,
887,2021-04-28 14:00:00,129.009256602,129.022753176,128.631262539,128.700095069,140110,,,,,,
888,2021-04-28 13:30:00,128.869791999,129.027252034,128.861244168,129.009166624,124272,,,,,,
889,2021-04-28 13:00:00,128.811306843,128.928277155,128.784313694,128.874290857,129061,,,,,,
890,2021-04-28 12:30:00,128.730327396,128.892286289,128.667343381,128.811306843,128877,,,,,,
891,2021-04-28 12:00:00,128.928277155,128.946272587,128.658345665,128.721329679,177375,,,,,,
892,2021-04-28 11:30:00,128.662844523,128.973265736,128.613357083,128.928277155,232180,,,,,,
893,2021-04-28 11:00:00,128.140976977,128.838299991,128.10948497,128.662844523,295424,,,,,,
894,2021-04-28 10:30:00,128.050999813,128.199462133,127.857548913,128.136478119,233865,,,,,,
895,2021-04-28 10:00:00,128.595361651,128.595361651,127.956523792,128.037503239,488928,,,,,,
896,2021-04-28 09:30:00,128.226455282,128.658345665,127.992514657,128.658345665,2435,,,,,,
